Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,8,C8,CONTROL 8,kg292,,,,,,,,,,,,,,,,,,,9,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,6,FE def,Feed - DEF,kg292,,,,,,2,,,,,,,,,,,,,8,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,6,C5,CONTROL 5,sw38,,,,,,,,,,,,,,,,,,,9,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,4,FF def,Fruity Fermented - DEF,sw38,,,,,,,,,1,,,,,,,,,,5,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,2,CK def,Cooked - DEF,sw38,,,,,2,,,,,,,,,,,,,,8,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,1,C6,CONTROL 6,sw38,,,,,1,,,,,,,,,,,,,,9,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,3,B def,Bitter - DEF,sw38,,,,2,,,,,,,,,,,,,,,3,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,5,LO def,Light Oxidized - DEF,sw38,,,,,,,,,,,2,,,,,,,,5,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,7,C7,CONTROL 7,sw38,,,,,,,,,,,,,,,,,,1,8.8,Slight aftertaste not sure what it was
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,9,C8,CONTROL 8,sw38,,,,,1,,,,,,,,,,,,,,9,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,8,FE def,Feed - DEF,sw38,,,,,,2.3,,,,,,,,,,,,,7,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,8,C5,CONTROL 5,hmm79,,,,,,,,,,,,,,,,,,,9,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,6,FF def,Fruity Fermented - DEF,hmm79,,,,,,,,,2,,,,,,,,,,3,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,4,CK def,Cooked - DEF,hmm79,,,,,2,,,,,,,,,,,,,,8,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,2,C6,CONTROL 6,hmm79,,,,,,,,,,,,,,,,,,,9,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,1,B def,Bitter - DEF,hmm79,,,,2,,,,,,,,,,,,,,,3,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,3,LO def,Light Oxidized - DEF,hmm79,,,,,,,,,,,2,,,,,,,,3,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,5,C7,CONTROL 7,hmm79,,,,,,,,,,,,,,,,,,,9,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,7,C8,CONTROL 8,hmm79,,,,,,,,,,,,,,,,,,,9,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,9,FE def,Feed - DEF,hmm79,,,,,,2,,,,,,,,,,,,,8,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,9,C5,CONTROL 5,sjr267,,,,,,,,,,,,,,,,,,,10,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,8,FF def,Fruity Fermented - DEF,sjr267,,,,,,,,,1,,,,,,,,,,5,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,6,CK def,Cooked - DEF,sjr267,,,,,2,,,,,,,,,,,,,,8,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,4,C6,CONTROL 6,sjr267,,,,,,,,,,,,,,,,,,,10,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,2,B def,Bitter - DEF,sjr267,,,,2,,,,,,,,,,,,,,,3,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,1,LO def,Light Oxidized - DEF,sjr267,,,,,,,,,,,1,,,,,,,,7,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,3,C7,CONTROL 7,sjr267,,,,,,,1,,,,,,,,,,,,9,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,5,C8,CONTROL 8,sjr267,,,,,,,,,,,,,,,,,,,10,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,7,FE def,Feed - DEF,sjr267,,,,,,2,,,,,,,,,,,,,8,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,7,C5,CONTROL 5,aj425,,,,,,,,,,,,,,,,,,,9.4,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,9,FF def,Fruity Fermented - DEF,aj425,,,,,,,,,2,,,,,,,,,,3,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,8,CK def,Cooked - DEF,aj425,,,,,,,,,,,,,,,2,,,,1,Nt
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,6,C6,CONTROL 6,aj425,,,,,,,,,,,,,,,,,,,9.2,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,4,B def,Bitter - DEF,aj425,,,,1,,,,,,,,,,,,,,,5,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,2,LO def,Light Oxidized - DEF,aj425,,,,,,,,,,,2,,,,,,,,6,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,1,C7,CONTROL 7,aj425,,,,,,,,,,,,,,,,,,,9.6,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,3,C8,CONTROL 8,aj425,,,,,,,,,,,,,,,,,,,9.5,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,5,FE def,Feed - DEF,aj425,,,,,,2,,,,,,,,,,,,,8,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,5,C5,CONTROL 5,nrs13,,,,,,,,,,,,,,,,,,,9.5,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,7,FF def,Fruity Fermented - DEF,nrs13,,,,,,,,,2,,,,,,,,,,3,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,9,CK def,Cooked - DEF,nrs13,,,,,2,,,,,,,,,,,,,,8,The 2%flat and milk carton for this post test did not seem at a definite level to me LO seemed a bit weaker than normal also
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,8,C6,CONTROL 6,nrs13,,,,,,,,,,,,,,,,,,,9.5,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,6,B def,Bitter - DEF,nrs13,,,,2,,,,,,,,,,,,,,,3,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,4,LO def,Light Oxidized - DEF,nrs13,,,,,,,,,,,2,,,,,,,,7,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,2,C7,CONTROL 7,nrs13,,,,,,,,,,,,,,,,,,,9.5,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,1,C8,CONTROL 8,nrs13,,,,,,,,,,,,,,,,,,,9.5,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,3,FE def,Feed - DEF,nrs13,,,,,,2,,,,,,,,,,,,,8,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,3,C5,CONTROL 5,krs4,,,,,,,,,,,,,,1,,,,,9,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,5,FF def,Fruity Fermented - DEF,krs4,,,,,,,,,2,,,,,,,,,,3,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,7,CK def,Cooked - DEF,krs4,,,,,2,,,,,,,,,,,,,,8,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,9,C6,CONTROL 6,krs4,,,,,,,,,,,,,,,,,,,9.5,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,8,B def,Bitter - DEF,krs4,,,,2,,,,,,,,,,,,,,,3,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,6,LO def,Light Oxidized - DEF,krs4,,,,,,,,,,,2,,,,,,,,6,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,4,C7,CONTROL 7,krs4,,,,,,,1,,,,,,,,,,,,9,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,2,C8,CONTROL 8,krs4,,,,,,,,,,,,,,,,,,,9.5,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,1,FE def,Feed - DEF,krs4,,,,,,2,,,,,,,,,,,,,8,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,9,C5,CONTROL 5,arw93,,,,,,,,,,,,,,,,,,,9,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,7,FF def,Fruity Fermented - DEF,arw93,,,,,,,,,1,,,,,,,,,,5,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,5,CK def,Cooked - DEF,arw93,,,,,,,,,,,,,,,2,,,,1,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,3,C6,CONTROL 6,arw93,,,,,1,,,,,,,,,,,,,,8,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,1,B def,Bitter - DEF,arw93,,,,2,,,,,,,,,,,,,,,3,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,2,LO def,Light Oxidized - DEF,arw93,,,,,,,,,,,2,,,,,,,,6,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,4,C7,CONTROL 7,arw93,,,,,,,,,,,,,,,,,,,9,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,6,C8,CONTROL 8,arw93,,,,,,,,,,,,,,,,,,,9,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,8,FE def,Feed - DEF,arw93,,,,,,2,,,,,,,,,,,,,8,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,8,C5,CONTROL 5,dk657,,,,,,,,,,,,,,,,,,,10,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,9,FF def,Fruity Fermented - DEF,dk657,,,,,,,,,2,,,,,,,,,,3,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,7,CK def,Cooked - DEF,dk657,,,,,2,,,,,,,,,,,,,,8,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,5,C6,CONTROL 6,dk657,,,,,,,,,,,,,,,,,,,10,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,3,B def,Bitter - DEF,dk657,,,,1,,,,,,,,,,,,,,,5,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,1,LO def,Light Oxidized - DEF,dk657,,,,,,,,,,,1,,,,,,,,7,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,2,C7,CONTROL 7,dk657,,,,,,,,,,,,,,,,,,,10,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,4,C8,CONTROL 8,dk657,,,,,,,,,,,,,,,,,,,10,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,6,FE def,Feed - DEF,dk657,,,,,,1,,,,,,,,,,,,,9,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,6,C5,CONTROL 5,ram524,,,,1,,,,,,,,,,,,,,,7,Very slight bitter compared to control milk but also could be slightly flat
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,8,FF def,Fruity Fermented - DEF,ram524,,,,,,,,,2,,,,,,,,,,3,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,9,CK def,Cooked - DEF,ram524,,,,,2,,,,,,,,,,,,,,8,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,7,C6,CONTROL 6,ram524,,,,,,,,,,,,,,,,,,,10,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,5,B def,Bitter - DEF,ram524,,,,2,,,,,,,,,,,,,,,3,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,3,LO def,Light Oxidized - DEF,ram524,,,,,,,,,,,2,,,,,,,,6,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,1,C7,CONTROL 7,ram524,,,,,,,,,,,,,,,,,,,10,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,2,C8,CONTROL 8,ram524,,,,,1,,,,,,,,,,,,,,9,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,4,FE def,Feed - DEF,ram524,,,,,,2,,,,,,,,,,,,,8,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,4,C5,CONTROL 5,at543,,,,,,,,,,,,,,,,,,,9.7,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,6,FF def,Fruity Fermented - DEF,at543,,,,,,,,,2,,,,,,,,,,3,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,8,CK def,Cooked - DEF,at543,,,,,3,,,,,,,,,,,,,,6,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,9,C6,CONTROL 6,at543,,,,,,,,,,,,,,,,,,,9.8,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,7,B def,Bitter - DEF,at543,,,,2,,,,,,,,,,,,,,,3,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,5,LO def,Light Oxidized - DEF,at543,,,,,,,,,,,2,,,,,,,,3,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,3,C7,CONTROL 7,at543,,,,,1,,,,,,,,,,,,,,9,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,1,C8,CONTROL 8,at543,,,,,,,,,,,,,,,,,,,9.5,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,2,FE def,Feed - DEF,at543,,,,,,2,,,,,,,,,,,,,8,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,2,C5,CONTROL 5,cjh263,,,,,,,,,,,,,,,,,,,9.5,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,4,FF def,Fruity Fermented - DEF,cjh263,,,,,,,,,1,,,,,,,,,,5,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,6,CK def,Cooked - DEF,cjh263,,,,,2,,,,,,,,,,,,,,8,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,8,C6,CONTROL 6,cjh263,,,,,,,,,,,,,,,,,,,9.5,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,9,B def,Bitter - DEF,cjh263,,,,2,,,,,,,,,,,,,,,3,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,7,LO def,Light Oxidized - DEF,cjh263,,,,,,,,,,,2,,,,,,,,6,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,5,C7,CONTROL 7,cjh263,,,,,,,1,,,,,,,,,,,,9,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,3,C8,CONTROL 8,cjh263,,,,,,,,,,,,,,,,,,,9.5,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,1,FE def,Feed - DEF,cjh263,,,,,,2,,,,,,,,,,,,,8,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,1,C5,CONTROL 5,edf46,,,,,,,,,,1,,,,,,,,,8,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,2,FF def,Fruity Fermented - DEF,edf46,,,,,,,,,2,,,,,,,,,,3,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,4,CK def,Cooked - DEF,edf46,,,,,1.5,,,,,,,,,,,,,,8.5,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,6,C6,CONTROL 6,edf46,,,,,,,,,,,,,,,,,,,9,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,8,B def,Bitter - DEF,edf46,,,,2,,,,,,,,,,,,,,,3,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,9,LO def,Light Oxidized - DEF,edf46,,,,,,,,,,,2,,,,,,,,6,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,7,C7,CONTROL 7,edf46,,,,,,,,,,1,,,,,,,,,8,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,5,C8,CONTROL 8,edf46,,,,,,,,,,,,,,,,,,,9,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,3,FE def,Feed - DEF,edf46,,,,,,2,,,,,,,,,,,,,8,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,3,C5,CONTROL 5,rc687,,,,,,,,,,,,,,,,,,,9,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,1,FF def,Fruity Fermented - DEF,rc687,,,,,,,,,2,,,,,,,,,,3,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,2,CK def,Cooked - DEF,rc687,,,,,2,,,,,,,,,,,,,,8,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,4,C6,CONTROL 6,rc687,,,,,,,,,,,,,,,,,,,9,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,6,B def,Bitter - DEF,rc687,,,,2,,,,,,,,,,,,,,,3,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,8,LO def,Light Oxidized - DEF,rc687,,,,,,,,,,,2,,,,,,,,6,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,9,C7,CONTROL 7,rc687,,,,,,,1,,,,,,,,,,,,9,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,7,C8,CONTROL 8,rc687,,,,,,,,,,,,,,,,,,,9,
Post-Eval 2% AM 041715 & 050815 Spring 2015,2% WHITE MILK,5,FE def,Feed - DEF,rc687,,,,,,2,,,,,,,,,,,,,8,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Test Name,Description,Test Status,Test Owner,Saved for,Test Language,Test Expiry,,,,,,,,,,,,,,,,,,,
Post-Eval Skim PM 041715 & 050815 Spring 2015 ,New Test,Ready To Run,Nancy Carey,Cornell,English,5/15/2015,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Section Name,SKIM WHITE MILK,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Number,Sample Name,Product Code,Product Name,Sample Type,,,,,,,,,,,,,,,,,,,,,
1,B def,2003,Bitter - DEF,Sample,,,,,,,,,,,,,,,,,,,,,
2,C1,P607,CONTROL 1,Sample,,,,,,,,,,,,,,,,,,,,,
3,FL def,2009,Flat - DEF,Sample,,,,,,,,,,,,,,,,,,,,,
4,M def,2015,Malty - DEF,Sample,,,,,,,,,,,,,,,,,,,,,
5,C2,P608,CONTROL 2,Sample,,,,,,,,,,,,,,,,,,,,,
6,C3,P609,CONTROL 3,Sample,,,,,,,,,,,,,,,,,,,,,
7,FE def,2007,Feed - DEF,Sample,,,,,,,,,,,,,,,,,,,,,
8,R def,2017,Rancid - DEF,Sample,,,,,,,,,,,,,,,,,,,,,
9,LO def,2013,Light Oxidized - DEF,Sample,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Test_Name,Section_Name,Sample_Position,Sample_Name,Product_Name,Panelist_Code,Q1_1__ACID_-_odor_similar_to_buttermilk/yogurt,Q1_2__ASTRINGENT_-_drying__chalky__roughing_of_mouth_tissues,Q1_3__BARNY/COWY_-_unclean_barn_conditions/medicinal_aftertaste_(Comment_ALSO),Q1_4__BITTER-_lingering_aftertaste_as_from_grapefruit/strong_coffee/tonic_water,Q1_5__COOKED_-_from_sweet__pleasant_as_heated_for_hot_chocolate_to_sulfurous,Q1_6__FEED_-_sweet_hay_odor/grassy_flavor_(or_fermented_silage/alcohol),Q1_7__FLAT_-_watery_and/or_tasteless__less_sweet_than_normal_milk_of_this_type,Q1_8__FOREIGN/CHEMICAL_-_chlorine__sanitizer__cow_med___exhaust_fumes__citrus__etc_,Q1_9__FRUITY/FERMENTED_-_pineapple__strawberry__etc___fruity_odor_or_vinegar-like,"Q1_10__LACKS_FRESHNESS-_old-tasting_""blah""_milk_lacking_specific_characteristic",Q1_11__LIGHT_OXIDIZED_-_plasticy_chemical/medicinal_or_tallowy__burnt_feathers,Q1_12__LIPID_OXIDIZED_-_old_oil_odor__may_be_slick_on_lips,Q1_13__MALTY_-_like_GrapeNuts_cereal__malt-balls__-drinks__or_-waffles__or_beer_grains,"Q1_14__MILK_CARTON_-_stale_""refrigerated_air""_odor/taste__cardboard_too_long_in_fridge",Q1_15__RANCID_-_pungent_odor_like_provolone__like_baby_vomit_when_rubbed_to_hot_on_wrist,Q1_16__UNCLEAN_-_putrid_odor_as_of_old_mop_water/dirty_socks__lingering_flavor,Q1_17__COAGULATED-_chunks_on_side_of_cup_when_swirled_-_RATE_0_0,Q1_18__OTHER_-_rate__then_ALSO_describe_in_COMMENTS,Q1_19__OVERALL_FLAVOR_-_if_<9_0__you_MUST_rate_an_Attribute_or_COMMENT,Q3__Comment
Post-Eval Skim PM 041715 & 050815 Spring 2015 ,SKIM WHITE MILK,1,B def,Bitter - DEF,lab344,,,,1,,,,,,,,,,,,,,,5,
Post-Eval Skim PM 041715 & 050815 Spring 2015 ,SKIM WHITE MILK,3,C1,CONTROL 1,lab344,,,,,,,,,,,,,,,,,,,10,
Post-Eval Skim PM 041715 & 050815 Spring 2015 ,SKIM WHITE MILK,5,FL def,Flat - DEF,lab344,,,,,,,,,,,,,,,,,,,10,
Post-Eval Skim PM 041715 & 050815 Spring 2015 ,SKIM WHITE MILK,7,M def,Malty - DEF,lab344,,,,,,,,,,,,,2,,,,,,3,
Post-Eval Skim PM 041715 & 050815 Spring 2015 ,SKIM WHITE MILK,9,C2,CONTROL 2,lab344,,,,,,,1,,,,,,,,,,,,9,
Post-Eval Skim PM 041715 & 050815 Spring 2015 ,SKIM WHITE MILK,8,C3,CONTROL 3,lab344,,,,,,,,,,,,,,,,,,,9,
Post-Eval Skim PM 041715 & 050815 Spring 2015 ,SKIM WHITE MILK,6,FE def,Feed - DEF,lab344,,,,,,2,,,,,,,,,,,,,8,
Post-Eval Skim PM 041715 & 050815 Spring 2015 ,SKIM WHITE MILK,4,R def,Rancid - DEF,lab344,,,,,,,,,,,,,,,2,,,,1,
Post-Eval Skim PM 041715 & 050815 Spring 2015 ,SKIM WHITE MILK,2,LO def,Light Oxidized - DEF,lab344,,,,,,,,,,,1,,,,,,,,7,
Post-Eval Skim PM 041715 & 050815 Spring 2015 ,SKIM WHITE MILK,2,B def,Bitter - DEF,kg292,,,,2,,,,,,,,,,,,,,,3,
Post-Eval Skim PM 041715 & 050815 Spring 2015 ,SKIM WHITE MILK,1,C1,CONTROL 1,kg292,,,,,,,,,,,,,,,,,,,9,
Post-Eval Skim PM 041715 & 050815 Spring 2015 ,SKIM WHITE MILK,3,FL def,Flat - DEF,kg292,,,,,,,2,,,,,,,,,,,,8,
Post-Eval Skim PM 041715 & 050815 Spring 2015 ,SKIM WHITE MILK,5,M def,Malty - DEF,kg292,,,,,,,,,,,,,2,,,,,,3,
Post-Eval Skim PM 041715 & 050815 Spring 2015 ,SKIM WHITE MILK,7,C2,CONTROL 2,kg292,,,,,,,,,,,,,,,,,,,9,
Post-Eval Skim PM 041715 & 050815 Spring 2015 ,SKIM WHITE MILK,9,C3,CONTROL 3,kg292,,,,,,,,,,,,,,,,,,,9,
Post-Eval Skim PM 041715 & 050815 Spring 2015 ,SKIM WHITE MILK,8,FE def,Feed - DEF,kg292,,,,,,2,,,,,,,,,,,,,8,
Post-Eval Skim PM 041715 & 050815 Spring 2015 ,SKIM WHITE MILK,6,R def,Rancid - DEF,kg292,,,,,,,,,,,,,,,2,,,,1,
Post-Eval Skim PM 041715 & 050815 Spring 2015 ,SKIM WHITE MILK,4,LO def,Light Oxidized - DEF,kg292,,,,,,,,,,,2,,,,,,,,6,
Post-Eval Skim PM 041715 & 050815 Spring 2015 ,SKIM WHITE MILK,4,B def,Bitter - DEF,sjr267,,,,2,,,,,,,,,,,,,,,3,
Post-Eval Skim PM 041715 & 050815 Spring 2015 ,SKIM WHITE MILK,2,C1,CONTROL 1,sjr267,,,,,,,,,,,,,,,,,,,10,
Post-Eval Skim PM 041715 & 050815 Spring 2015 ,SKIM WHITE MILK,1,FL def,Flat - DEF,sjr267,,,,,,,1,,,,,,,,,,,,9,
Post-Eval Skim PM 041715 & 050815 Spring 2015 ,SKIM WHITE MILK,3,M def,Malty - DEF,sjr267,,,,,,,,,,,,,2,,,,,,3,
Post-Eval Skim PM 041715 & 050815 Spring 2015 ,SKIM WHITE MILK,5,C2,CONTROL 2,sjr267,,,,,,,,,,,,,,,,,,,10,
Post-Eval Skim PM 041715 & 050815 Spring 2015 ,SKIM WHITE MILK,7,C3,CONTROL 3,sjr267,,,,,,,2,,,,,,,,,,,,8,
Post-Eval Skim PM 041715 & 050815 Spring 2015 ,SKIM WHITE MILK,9,FE def,Feed - DEF,sjr267,,,,,,2,,,,,,,,,,,,,8,
Post-Eval Skim PM 041715 & 050815 Spring 2015 ,SKIM WHITE MILK,8,R def,Rancid - DEF,sjr267,,,,,,,,,,,,,,,2,,,,1,
Post-Eval Skim PM 041715 & 050815 Spring 2015 ,SKIM WHITE MILK,6,LO def,Light Oxidized - DEF,sjr267,,,,,,,,,,,1,,,,,,,,7,
Post-Eval Skim PM 041715 & 050815 Spring 2015 ,SKIM WHITE MILK,6,B def,Bitter - DEF,hmm79,,,,1,,,,,,,,,,,,,,,5,
Post-Eval Skim PM 041715 & 050815 Spring 2015 ,SKIM WHITE MILK,4,C1,CONTROL 1,hmm79,,,,,,,,,,,,,,,,,,,9,
Post-Eval Skim PM 041715 & 050815 Spring 2015 ,SKIM WHITE MILK,2,FL def,Flat - DEF,hmm79,,,,,,,,,,,,,,,,,,,9,
Post-Eval Skim PM 041715 & 050815 Spring 2015 ,SKIM WHITE MILK,1,M def,Malty - DEF,hmm79,,,,,,,,,,,,,1,,,,,,5,
Post-Eval Skim PM 041715 & 050815 Spring 2015 ,SKIM WHITE MILK,3,C2,CONTROL 2,hmm79,,,,,,,,,,,,,,,,,,,9,
Post-Eval Skim PM 041715 & 050815 Spring 2015 ,SKIM WHITE MILK,5,C3,CONTROL 3,hmm79,,,,,,,,,,,,,,,,,,,9,
Post-Eval Skim PM 041715 & 050815 Spring 2015 ,SKIM WHITE MILK,7,FE def,Feed - DEF,hmm79,,,,,,2,,,,,,,,,,,,,8,
Post-Eval Skim PM 041715 & 050815 Spring 2015 ,SKIM WHITE MILK,9,R def,Rancid - DEF,hmm79,,,,,,,,,,,,,,,2,,,,1,
Post-Eval Skim PM 041715 & 050815 Spring 2015 ,SKIM WHITE MILK,8,LO def,Light Oxidized - DEF,hmm79,,,,,,,,,,,2,,,,,,,,6,
